areaType,areaName,areaCode ,date      ,newCasesBySpecimenDate,cumCasesBySpecimenDate
ltla    ,York    ,E06000014,2022-04-26,20                    ,64625
ltla    ,York    ,E06000014,2022-04-25,51                    ,64605
ltla    ,York    ,E06000014,2022-04-24,41                    ,64554
ltla    ,York    ,E06000014,2022-04-23,41                    ,64513
ltla    ,York    ,E06000014,2022-04-22,47                    ,64472
ltla    ,York    ,E06000014,2022-04-21,48                    ,64425
ltla    ,York    ,E06000014,2022-04-20,68                    ,64377
ltla    ,York    ,E06000014,2022-04-19,89                    ,64309
ltla    ,York    ,E06000014,2022-04-18,86                    ,64220
ltla    ,York    ,E06000014,2022-04-17,67                    ,64134
ltla    ,York    ,E06000014,2022-04-16,80                    ,64067
ltla    ,York    ,E06000014,2022-04-15,94                    ,63987
ltla    ,York    ,E06000014,2022-04-14,92                    ,63893
ltla    ,York    ,E06000014,2022-04-13,129                   ,63801
ltla    ,York    ,E06000014,2022-04-12,131                   ,63672
ltla    ,York    ,E06000014,2022-04-11,123                   ,63541
ltla    ,York    ,E06000014,2022-04-10,105                   ,63418
ltla    ,York    ,E06000014,2022-04-09,71                    ,63313
ltla    ,York    ,E06000014,2022-04-08,109                   ,63242
ltla    ,York    ,E06000014,2022-04-07,111                   ,63133
ltla    ,York    ,E06000014,2022-04-06,174                   ,63022
ltla    ,York    ,E06000014,2022-04-05,160                   ,62848
ltla    ,York    ,E06000014,2022-04-04,188                   ,62688
ltla    ,York    ,E06000014,2022-04-03,137                   ,62500
ltla    ,York    ,E06000014,2022-04-02,120                   ,62363
ltla    ,York    ,E06000014,2022-04-01,128                   ,62243
ltla    ,York    ,E06000014,2022-03-31,183                   ,62115
ltla    ,York    ,E06000014,2022-03-30,241                   ,61932
ltla    ,York    ,E06000014,2022-03-29,251                   ,61691
ltla    ,York    ,E06000014,2022-03-28,305                   ,61440
ltla    ,York    ,E06000014,2022-03-27,213                   ,61135
ltla    ,York    ,E06000014,2022-03-26,197                   ,60922
ltla    ,York    ,E06000014,2022-03-25,259                   ,60725
ltla    ,York    ,E06000014,2022-03-24,244                   ,60466
ltla    ,York    ,E06000014,2022-03-23,339                   ,60222
ltla    ,York    ,E06000014,2022-03-22,338                   ,59883
ltla    ,York    ,E06000014,2022-03-21,377                   ,59545
ltla    ,York    ,E06000014,2022-03-20,294                   ,59168
ltla    ,York    ,E06000014,2022-03-19,231                   ,58874
ltla    ,York    ,E06000014,2022-03-18,240                   ,58643
ltla    ,York    ,E06000014,2022-03-17,256                   ,58403
ltla    ,York    ,E06000014,2022-03-16,300                   ,58147
ltla    ,York    ,E06000014,2022-03-15,282                   ,57847
ltla    ,York    ,E06000014,2022-03-14,297                   ,57565
ltla    ,York    ,E06000014,2022-03-13,219                   ,57268
ltla    ,York    ,E06000014,2022-03-12,216                   ,57049
ltla    ,York    ,E06000014,2022-03-11,219                   ,56833
ltla    ,York    ,E06000014,2022-03-10,183                   ,56614
ltla    ,York    ,E06000014,2022-03-09,192                   ,56431
ltla    ,York    ,E06000014,2022-03-08,240                   ,56239
ltla    ,York    ,E06000014,2022-03-07,204                   ,55999
ltla    ,York    ,E06000014,2022-03-06,168                   ,55795
ltla    ,York    ,E06000014,2022-03-05,124                   ,55627
ltla    ,York    ,E06000014,2022-03-04,135                   ,55503
ltla    ,York    ,E06000014,2022-03-03,139                   ,55368
ltla    ,York    ,E06000014,2022-03-02,127                   ,55229
ltla    ,York    ,E06000014,2022-03-01,123                   ,55102
ltla    ,York    ,E06000014,2022-02-28,150                   ,54979
ltla    ,York    ,E06000014,2022-02-27,85                    ,54829
ltla    ,York    ,E06000014,2022-02-26,69                    ,54744
ltla    ,York    ,E06000014,2022-02-25,82                    ,54675
ltla    ,York    ,E06000014,2022-02-24,83                    ,54593
ltla    ,York    ,E06000014,2022-02-23,114                   ,54510
ltla    ,York    ,E06000014,2022-02-22,116                   ,54396
ltla    ,York    ,E06000014,2022-02-21,131                   ,54280
ltla    ,York    ,E06000014,2022-02-20,117                   ,54149
ltla    ,York    ,E06000014,2022-02-19,104                   ,54032
ltla    ,York    ,E06000014,2022-02-18,108                   ,53928
ltla    ,York    ,E06000014,2022-02-17,130                   ,53820
ltla    ,York    ,E06000014,2022-02-16,151                   ,53690
ltla    ,York    ,E06000014,2022-02-15,136                   ,53539
ltla    ,York    ,E06000014,2022-02-14,177                   ,53403
ltla    ,York    ,E06000014,2022-02-13,132                   ,53226
ltla    ,York    ,E06000014,2022-02-12,74                    ,53094
ltla    ,York    ,E06000014,2022-02-11,138                   ,53020
ltla    ,York    ,E06000014,2022-02-10,162                   ,52882
ltla    ,York    ,E06000014,2022-02-09,182                   ,52720
ltla    ,York    ,E06000014,2022-02-08,202                   ,52538
ltla    ,York    ,E06000014,2022-02-07,242                   ,52336
ltla    ,York    ,E06000014,2022-02-06,220                   ,52094
ltla    ,York    ,E06000014,2022-02-05,157                   ,51874
ltla    ,York    ,E06000014,2022-02-04,209                   ,51717
ltla    ,York    ,E06000014,2022-02-03,261                   ,51508
ltla    ,York    ,E06000014,2022-02-02,321                   ,51247
ltla    ,York    ,E06000014,2022-02-01,306                   ,50926
ltla    ,York    ,E06000014,2022-01-31,358                   ,50620
ltla    ,York    ,E06000014,2022-01-30,305                   ,50262
