areaType,areaName,areaCode ,date      ,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
ltla    ,York    ,E06000014,2022-04-26,7                                            ,165328                                       ,26                                            ,156694                                        ,55                                                ,128728
ltla    ,York    ,E06000014,2022-04-25,6                                            ,165321                                       ,29                                            ,156668                                        ,55                                                ,128673
ltla    ,York    ,E06000014,2022-04-24,4                                            ,165315                                       ,34                                            ,156639                                        ,45                                                ,128618
ltla    ,York    ,E06000014,2022-04-23,21                                           ,165311                                       ,57                                            ,156605                                        ,67                                                ,128573
ltla    ,York    ,E06000014,2022-04-22,15                                           ,165290                                       ,49                                            ,156548                                        ,68                                                ,128506
ltla    ,York    ,E06000014,2022-04-21,9                                            ,165275                                       ,27                                            ,156499                                        ,41                                                ,128438
ltla    ,York    ,E06000014,2022-04-20,23                                           ,165266                                       ,50                                            ,156472                                        ,63                                                ,128397
ltla    ,York    ,E06000014,2022-04-19,7                                            ,165243                                       ,29                                            ,156422                                        ,53                                                ,128334
ltla    ,York    ,E06000014,2022-04-18,8                                            ,165236                                       ,10                                            ,156393                                        ,24                                                ,128281
ltla    ,York    ,E06000014,2022-04-17,5                                            ,165228                                       ,13                                            ,156383                                        ,8                                                 ,128257
ltla    ,York    ,E06000014,2022-04-16,6                                            ,165223                                       ,26                                            ,156370                                        ,27                                                ,128249
ltla    ,York    ,E06000014,2022-04-15,9                                            ,165217                                       ,21                                            ,156344                                        ,19                                                ,128222
ltla    ,York    ,E06000014,2022-04-14,11                                           ,165208                                       ,22                                            ,156323                                        ,36                                                ,128203
ltla    ,York    ,E06000014,2022-04-13,10                                           ,165197                                       ,31                                            ,156301                                        ,33                                                ,128167
ltla    ,York    ,E06000014,2022-04-12,14                                           ,165187                                       ,29                                            ,156270                                        ,45                                                ,128134
ltla    ,York    ,E06000014,2022-04-11,17                                           ,165173                                       ,38                                            ,156241                                        ,38                                                ,128089
ltla    ,York    ,E06000014,2022-04-10,23                                           ,165156                                       ,87                                            ,156203                                        ,47                                                ,128051
ltla    ,York    ,E06000014,2022-04-09,18                                           ,165133                                       ,52                                            ,156116                                        ,43                                                ,128004
ltla    ,York    ,E06000014,2022-04-08,13                                           ,165115                                       ,57                                            ,156064                                        ,66                                                ,127961
ltla    ,York    ,E06000014,2022-04-07,6                                            ,165102                                       ,31                                            ,156007                                        ,41                                                ,127895
ltla    ,York    ,E06000014,2022-04-06,10                                           ,165096                                       ,18                                            ,155976                                        ,55                                                ,127854
ltla    ,York    ,E06000014,2022-04-05,12                                           ,165086                                       ,25                                            ,155958                                        ,49                                                ,127799
ltla    ,York    ,E06000014,2022-04-04,10                                           ,165074                                       ,33                                            ,155933                                        ,44                                                ,127750
ltla    ,York    ,E06000014,2022-04-03,12                                           ,165064                                       ,86                                            ,155900                                        ,46                                                ,127706
ltla    ,York    ,E06000014,2022-04-02,20                                           ,165052                                       ,60                                            ,155814                                        ,41                                                ,127660
ltla    ,York    ,E06000014,2022-04-01,13                                           ,165032                                       ,28                                            ,155754                                        ,56                                                ,127619
ltla    ,York    ,E06000014,2022-03-31,14                                           ,165019                                       ,24                                            ,155726                                        ,49                                                ,127563
ltla    ,York    ,E06000014,2022-03-30,11                                           ,165005                                       ,16                                            ,155702                                        ,52                                                ,127514
ltla    ,York    ,E06000014,2022-03-29,11                                           ,164994                                       ,35                                            ,155686                                        ,57                                                ,127462
ltla    ,York    ,E06000014,2022-03-28,12                                           ,164983                                       ,29                                            ,155651                                        ,44                                                ,127405
ltla    ,York    ,E06000014,2022-03-27,9                                            ,164971                                       ,35                                            ,155622                                        ,34                                                ,127361
ltla    ,York    ,E06000014,2022-03-26,17                                           ,164962                                       ,56                                            ,155587                                        ,43                                                ,127327
ltla    ,York    ,E06000014,2022-03-25,11                                           ,164945                                       ,64                                            ,155531                                        ,68                                                ,127284
ltla    ,York    ,E06000014,2022-03-24,12                                           ,164934                                       ,26                                            ,155467                                        ,50                                                ,127216
ltla    ,York    ,E06000014,2022-03-23,15                                           ,164922                                       ,42                                            ,155441                                        ,62                                                ,127166
ltla    ,York    ,E06000014,2022-03-22,7                                            ,164907                                       ,40                                            ,155399                                        ,74                                                ,127104
ltla    ,York    ,E06000014,2022-03-21,8                                            ,164900                                       ,36                                            ,155359                                        ,54                                                ,127030
ltla    ,York    ,E06000014,2022-03-20,12                                           ,164892                                       ,44                                            ,155323                                        ,58                                                ,126976
ltla    ,York    ,E06000014,2022-03-19,10                                           ,164880                                       ,47                                            ,155279                                        ,79                                                ,126918
ltla    ,York    ,E06000014,2022-03-18,8                                            ,164870                                       ,67                                            ,155232                                        ,71                                                ,126839
ltla    ,York    ,E06000014,2022-03-17,9                                            ,164862                                       ,34                                            ,155165                                        ,29                                                ,126768
ltla    ,York    ,E06000014,2022-03-16,52                                           ,164853                                       ,76                                            ,155131                                        ,97                                                ,126739
ltla    ,York    ,E06000014,2022-03-15,12                                           ,164801                                       ,33                                            ,155055                                        ,55                                                ,126642
ltla    ,York    ,E06000014,2022-03-14,9                                            ,164789                                       ,45                                            ,155022                                        ,48                                                ,126587
ltla    ,York    ,E06000014,2022-03-13,14                                           ,164780                                       ,27                                            ,154977                                        ,51                                                ,126539
ltla    ,York    ,E06000014,2022-03-12,15                                           ,164766                                       ,33                                            ,154950                                        ,60                                                ,126488
ltla    ,York    ,E06000014,2022-03-11,23                                           ,164751                                       ,85                                            ,154917                                        ,63                                                ,126428
ltla    ,York    ,E06000014,2022-03-10,8                                            ,164728                                       ,19                                            ,154832                                        ,52                                                ,126365
ltla    ,York    ,E06000014,2022-03-09,13                                           ,164720                                       ,24                                            ,154813                                        ,35                                                ,126313
ltla    ,York    ,E06000014,2022-03-08,9                                            ,164707                                       ,25                                            ,154789                                        ,60                                                ,126278
ltla    ,York    ,E06000014,2022-03-07,2                                            ,164698                                       ,27                                            ,154764                                        ,46                                                ,126218
ltla    ,York    ,E06000014,2022-03-06,11                                           ,164696                                       ,36                                            ,154737                                        ,45                                                ,126172
ltla    ,York    ,E06000014,2022-03-05,9                                            ,164685                                       ,27                                            ,154701                                        ,61                                                ,126127
ltla    ,York    ,E06000014,2022-03-04,12                                           ,164676                                       ,23                                            ,154674                                        ,79                                                ,126066
ltla    ,York    ,E06000014,2022-03-03,13                                           ,164664                                       ,24                                            ,154651                                        ,47                                                ,125987
ltla    ,York    ,E06000014,2022-03-02,35                                           ,164651                                       ,44                                            ,154627                                        ,67                                                ,125940
ltla    ,York    ,E06000014,2022-03-01,22                                           ,164616                                       ,30                                            ,154583                                        ,51                                                ,125873
ltla    ,York    ,E06000014,2022-02-28,12                                           ,164594                                       ,16                                            ,154553                                        ,64                                                ,125822
ltla    ,York    ,E06000014,2022-02-27,7                                            ,164582                                       ,44                                            ,154537                                        ,72                                                ,125758
ltla    ,York    ,E06000014,2022-02-26,8                                            ,164575                                       ,30                                            ,154493                                        ,68                                                ,125686
ltla    ,York    ,E06000014,2022-02-25,17                                           ,164567                                       ,50                                            ,154463                                        ,69                                                ,125618
ltla    ,York    ,E06000014,2022-02-24,85                                           ,164550                                       ,66                                            ,154413                                        ,113                                               ,125549
ltla    ,York    ,E06000014,2022-02-23,37                                           ,164465                                       ,84                                            ,154347                                        ,83                                                ,125436
ltla    ,York    ,E06000014,2022-02-22,18                                           ,164428                                       ,41                                            ,154263                                        ,61                                                ,125353
ltla    ,York    ,E06000014,2022-02-21,21                                           ,164410                                       ,77                                            ,154222                                        ,73                                                ,125292
ltla    ,York    ,E06000014,2022-02-20,13                                           ,164389                                       ,33                                            ,154145                                        ,59                                                ,125219
ltla    ,York    ,E06000014,2022-02-19,18                                           ,164376                                       ,41                                            ,154112                                        ,51                                                ,125160
ltla    ,York    ,E06000014,2022-02-18,35                                           ,164358                                       ,146                                           ,154071                                        ,80                                                ,125109
ltla    ,York    ,E06000014,2022-02-17,54                                           ,164323                                       ,126                                           ,153925                                        ,56                                                ,125029
