areaType,areaName                ,areaCode ,date      ,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region  ,Yorkshire and The Humber,E12000003,2022-04-26,693                   ,1796098               ,593                           ,1694784                       ,100                          ,101314
region  ,Yorkshire and The Humber,E12000003,2022-04-25,1287                  ,1795405               ,1067                          ,1694191                       ,220                          ,101214
region  ,Yorkshire and The Humber,E12000003,2022-04-24,1081                  ,1794118               ,930                           ,1693124                       ,151                          ,100994
region  ,Yorkshire and The Humber,E12000003,2022-04-23,1058                  ,1793037               ,910                           ,1692194                       ,148                          ,100843
region  ,Yorkshire and The Humber,E12000003,2022-04-22,1172                  ,1791979               ,992                           ,1691284                       ,180                          ,100695
region  ,Yorkshire and The Humber,E12000003,2022-04-21,1412                  ,1790807               ,1198                          ,1690292                       ,214                          ,100515
region  ,Yorkshire and The Humber,E12000003,2022-04-20,1601                  ,1789395               ,1378                          ,1689094                       ,223                          ,100301
region  ,Yorkshire and The Humber,E12000003,2022-04-19,2080                  ,1787794               ,1781                          ,1687716                       ,299                          ,100078
region  ,Yorkshire and The Humber,E12000003,2022-04-18,2005                  ,1785714               ,1737                          ,1685935                       ,268                          ,99779
region  ,Yorkshire and The Humber,E12000003,2022-04-17,1640                  ,1783709               ,1416                          ,1684198                       ,224                          ,99511
region  ,Yorkshire and The Humber,E12000003,2022-04-16,1624                  ,1782069               ,1435                          ,1682782                       ,189                          ,99287
region  ,Yorkshire and The Humber,E12000003,2022-04-15,1673                  ,1780445               ,1469                          ,1681347                       ,204                          ,99098
region  ,Yorkshire and The Humber,E12000003,2022-04-14,2065                  ,1778772               ,1807                          ,1679878                       ,258                          ,98894
region  ,Yorkshire and The Humber,E12000003,2022-04-13,2541                  ,1776707               ,2235                          ,1678071                       ,306                          ,98636
region  ,Yorkshire and The Humber,E12000003,2022-04-12,2611                  ,1774166               ,2278                          ,1675836                       ,333                          ,98330
region  ,Yorkshire and The Humber,E12000003,2022-04-11,2865                  ,1771555               ,2491                          ,1673558                       ,374                          ,97997
region  ,Yorkshire and The Humber,E12000003,2022-04-10,2455                  ,1768690               ,2172                          ,1671067                       ,283                          ,97623
region  ,Yorkshire and The Humber,E12000003,2022-04-09,2138                  ,1766235               ,1870                          ,1668895                       ,268                          ,97340
