areaType,areaName                ,areaCode ,date      ,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
region  ,Yorkshire and The Humber,E12000003,2022-04-26,237                                          ,4214906                                      ,567                                           ,3985054                                       ,1059                                              ,3115046
region  ,Yorkshire and The Humber,E12000003,2022-04-25,289                                          ,4214669                                      ,591                                           ,3984487                                       ,1239                                              ,3113987
region  ,Yorkshire and The Humber,E12000003,2022-04-24,203                                          ,4214380                                      ,700                                           ,3983896                                       ,806                                               ,3112748
region  ,Yorkshire and The Humber,E12000003,2022-04-23,377                                          ,4214177                                      ,1313                                          ,3983196                                       ,1756                                              ,3111942
region  ,Yorkshire and The Humber,E12000003,2022-04-22,300                                          ,4213800                                      ,815                                           ,3981883                                       ,1250                                              ,3110186
region  ,Yorkshire and The Humber,E12000003,2022-04-21,372                                          ,4213500                                      ,848                                           ,3981068                                       ,1306                                              ,3108936
region  ,Yorkshire and The Humber,E12000003,2022-04-20,406                                          ,4213128                                      ,1179                                          ,3980220                                       ,1469                                              ,3107630
region  ,Yorkshire and The Humber,E12000003,2022-04-19,292                                          ,4212722                                      ,713                                           ,3979041                                       ,1236                                              ,3106161
region  ,Yorkshire and The Humber,E12000003,2022-04-18,118                                          ,4212430                                      ,271                                           ,3978328                                       ,377                                               ,3104925
region  ,Yorkshire and The Humber,E12000003,2022-04-17,88                                           ,4212312                                      ,192                                           ,3978057                                       ,266                                               ,3104548
region  ,Yorkshire and The Humber,E12000003,2022-04-16,300                                          ,4212224                                      ,935                                           ,3977865                                       ,1034                                              ,3104282
region  ,Yorkshire and The Humber,E12000003,2022-04-15,161                                          ,4211924                                      ,390                                           ,3976930                                       ,434                                               ,3103248
region  ,Yorkshire and The Humber,E12000003,2022-04-14,390                                          ,4211763                                      ,984                                           ,3976540                                       ,1309                                              ,3102814
region  ,Yorkshire and The Humber,E12000003,2022-04-13,450                                          ,4211373                                      ,1118                                          ,3975556                                       ,1498                                              ,3101505
region  ,Yorkshire and The Humber,E12000003,2022-04-12,358                                          ,4210923                                      ,874                                           ,3974438                                       ,1325                                              ,3100007
region  ,Yorkshire and The Humber,E12000003,2022-04-11,372                                          ,4210565                                      ,1030                                          ,3973564                                       ,1367                                              ,3098682
region  ,Yorkshire and The Humber,E12000003,2022-04-10,272                                          ,4210193                                      ,946                                           ,3972534                                       ,939                                               ,3097315
region  ,Yorkshire and The Humber,E12000003,2022-04-09,442                                          ,4209921                                      ,1321                                          ,3971588                                       ,1631                                              ,3096376
region  ,Yorkshire and The Humber,E12000003,2022-04-08,333                                          ,4209479                                      ,863                                           ,3970267                                       ,1358                                              ,3094745
region  ,Yorkshire and The Humber,E12000003,2022-04-07,312                                          ,4209146                                      ,831                                           ,3969404                                       ,1211                                              ,3093387
region  ,Yorkshire and The Humber,E12000003,2022-04-06,323                                          ,4208834                                      ,901                                           ,3968573                                       ,1196                                              ,3092176
region  ,Yorkshire and The Humber,E12000003,2022-04-05,333                                          ,4208511                                      ,790                                           ,3967672                                       ,1185                                              ,3090980
region  ,Yorkshire and The Humber,E12000003,2022-04-04,364                                          ,4208178                                      ,928                                           ,3966882                                       ,1157                                              ,3089795
region  ,Yorkshire and The Humber,E12000003,2022-04-03,242                                          ,4207814                                      ,844                                           ,3965954                                       ,872                                               ,3088638
region  ,Yorkshire and The Humber,E12000003,2022-04-02,465                                          ,4207572                                      ,1396                                          ,3965110                                       ,1525                                              ,3087766
region  ,Yorkshire and The Humber,E12000003,2022-04-01,330                                          ,4207107                                      ,924                                           ,3963714                                       ,1102                                              ,3086241
region  ,Yorkshire and The Humber,E12000003,2022-03-31,445                                          ,4206777                                      ,1118                                          ,3962790                                       ,1261                                              ,3085139
region  ,Yorkshire and The Humber,E12000003,2022-03-30,351                                          ,4206332                                      ,1308                                          ,3961672                                       ,1338                                              ,3083878
