 2021-12-13T18:05:04.309Z INFO  run > Using area: 2013265923TYPE299
 2021-12-13T18:05:04.309Z INFO  run > Using mode simulate for area '2013265923TYPE299'
 2021-12-13T18:05:04.309Z INFO  run > Loading data from disk...
 2021-12-13T18:05:04.313Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks101ew_population_144.csv'
 2021-12-13T18:05:07.842Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks608uk_occupation_count_NM_1518_1.csv'
 2021-12-13T18:05:08.276Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/wf01bew_residential_vs_workplace_NM_1228_1.csv'
 2021-12-13T18:05:09.100Z INFO  run              > Finished loading data in 4.791217062s,     Now Initialising  simulator
 2021-12-13T18:05:09.100Z DEBUG sim::simulator   > Current memory usage: 2.241 GB
 2021-12-13T18:05:09.101Z INFO  sim::models      > Loading map data from file...
 2021-12-13T18:05:10.399Z INFO  sim::models      > Finished loading map data in 1.297487093s
 2021-12-13T18:05:10.399Z INFO  sim::simulator   > Loaded map data in 1.29846196s
 2021-12-13T18:05:20.942Z INFO  sim::simulator   > Built residential population in 11.84226115s
 2021-12-13T18:05:20.942Z DEBUG sim::simulator   > Current memory usage: 4.131 GB
 2021-12-13T18:05:25.381Z INFO  sim::simulator   > Generated workplaces in 16.28118846s
 2021-12-13T18:05:25.381Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z INFO  sim::simulator   > Initialization completed in 16.315647 seconds
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Starting Statistics:
      There are 5249772 total Citizens
      17246 Output Areas
 2021-12-13T18:05:25.468Z INFO  run              > Initialised simulator, starting sim...
 2021-12-13T18:05:25.468Z INFO  sim::simulator   > Starting simulation...
Completed     10 time steps, in: 0.00 seconds  Statistics: Hour:    0, Total:        0, Susceptible:        0, Exposed:        0, Infected:        0, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.77 seconds  Statistics: Hour:   10, Total:  5249772, Susceptible:  5249508, Exposed:      254, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.63 seconds  Statistics: Hour:   20, Total:  5249772, Susceptible:  5249381, Exposed:      381, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.06 seconds  Statistics: Hour:   30, Total:  5249772, Susceptible:  5249381, Exposed:      381, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.70 seconds  Statistics: Hour:   40, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.61 seconds  Statistics: Hour:   50, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.72 seconds  Statistics: Hour:   60, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.61 seconds  Statistics: Hour:   70, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.07 seconds  Statistics: Hour:   80, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 2.29 seconds  Statistics: Hour:   90, Total:  5249772, Susceptible:  5249373, Exposed:      389, Infected:       10, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.07 seconds  Statistics: Hour:  100, Total:  5249772, Susceptible:  5249373, Exposed:      367, Infected:       32, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
